id,car_name,yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,make,model,total_owners,orginal_price,reserved,warranty_avail,paint,damage,no_of_service,bs
2897,maruti swift dzire,2013,petrol,169893,383903,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,Yes,0,1
2898,honda amaze,2015,petrol,162610,350980,sedan,manual,honda,amaze,1,351080,FALSE,FALSE,No,Yes,4,3
2899,honda amaze,2013,diesel,198155,307341,sedan,manual,honda,amaze,1,307441,FALSE,FALSE,Yes,No,2,4
2900,maruti ciaz,2016,diesel,141441,509679,sedan,manual,maruti,ciaz,1,509779,FALSE,FALSE,Yes,Yes,1,1
2901,maruti swift,2011,diesel,156138,353485,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,Yes,4,4
2902,maruti sx4,2009,petrol,119625,213568,sedan,manual,maruti,sx4,2,,FALSE,FALSE,No,No,1,4
2903,toyota fortuner,2012,diesel,172356,1049764,luxury suv,automatic,toyota,fortuner,3,1049865,FALSE,FALSE,No,Yes,5,3
2904,toyota innova,2008,diesel,270002,379664,suv,,toyota,innova,1,379764,FALSE,FALSE,Yes,No,3,1
2905,maruti swift,2014,diesel,143871,425204,hatchback,manual,maruti,swift,1,425304,FALSE,FALSE,Yes,No,3,1
2906,renault duster,2013,diesel,228190,385010,suv,manual,renault,duster,1,385110,FALSE,FALSE,Yes,No,0,4
2907,toyota innova,2014,diesel,121994,1035651,suv,manual,toyota,innova,1,1035751,FALSE,FALSE,No,No,3,4
2908,tata tigor,2018,petrol,16715,568853,sedan,manual,tata,tigor,1,592004,FALSE,FALSE,No,Yes,0,4
2909,hyundai verna,2012,petrol,27642,347520,sedan,manual,hyundai,verna,1,349120,FALSE,FALSE,No,Yes,4,4
2910,toyota corolla altis,2008,petrol,38192,232508,luxury sedan,,toyota,corolla altis,3,,FALSE,FALSE,Yes,Yes,2,5
2911,maruti alto,2012,petrol & cng,26760,190048,hatchback,manual,maruti,alto,1,,FALSE,FALSE,No,No,1,4
2912,maruti celerio,2014,petrol,22957,351329,hatchback,manual,maruti,celerio,1,,FALSE,FALSE,Yes,Yes,3,5
2913,maruti swift dzire,2013,diesel,53675,484315,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,No,2,1
2914,maruti ritz,2010,petrol,27565,201966,hatchback,manual,maruti,ritz,3,,FALSE,FALSE,No,No,3,1
2915,maruti wagon r 1.0,2014,petrol,32498,289943,hatchback,manual,maruti,wagon r 1.0,2,290043,FALSE,FALSE,No,Yes,4,4
2916,honda amaze,2014,petrol,24048,442901,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,Yes,5,2
2917,maruti celerio,2014,petrol,15206,350055,hatchback,manual,maruti,celerio,1,354955,FALSE,FALSE,Yes,Yes,2,2
2918,hyundai elite i20,2017,petrol,16723,575843,hatchback,manual,hyundai,elite i20,1,591480,FALSE,FALSE,Yes,Yes,2,2
2919,tata nano,2015,petrol,14562,189798,hatchback,automatic,tata,nano,1,,FALSE,FALSE,No,No,3,1
2920,renault kwid,2017,petrol,18596,351839,hatchback,,renault,kwid,1,351939,FALSE,FALSE,Yes,Yes,3,3
2921,toyota etios,2011,petrol,37505,254429,sedan,manual,toyota,etios,1,254529,FALSE,FALSE,No,Yes,3,1
2922,maruti wagon r 1.0,2013,petrol,13688,351592,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,0,2
2923,maruti swift dzire,2008,petrol,16352,236767,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,No,0,3
2924,hyundai xcent,2015,petrol,26161,435013,sedan,automatic,hyundai,xcent,1,435113,FALSE,FALSE,No,No,0,5
2925,honda brio,2013,petrol,20609,325947,hatchback,manual,honda,brio,1,,FALSE,FALSE,No,Yes,1,2
2926,maruti wagon r 1.0,2015,petrol,9357,368886,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,2,2
2927,maruti wagon r 1.0,2012,petrol,39652,277642,hatchback,manual,maruti,wagon r 1.0,3,,FALSE,FALSE,No,Yes,4,3
2928,hyundai eon,2013,petrol,32158,204013,hatchback,manual,hyundai,eon,2,,FALSE,FALSE,No,No,3,2
2929,maruti celerio,2015,petrol,14830,353899,hatchback,manual,maruti,celerio,1,,FALSE,FALSE,No,Yes,1,4
2930,maruti wagon r 1.0,2015,petrol,9622,372635,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,Yes,3,1
2931,renault kwid,2016,petrol,20275,339142,hatchback,automatic,renault,kwid,2,339242,FALSE,FALSE,No,Yes,4,5
2932,maruti eeco,2017,petrol,20010,365883,suv,manual,maruti,eeco,1,,FALSE,FALSE,Yes,No,1,1
2933,maruti swift,2014,petrol,38472,455122,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,2,5
2934,tata tiago,2017,petrol,12163,367920,hatchback,manual,tata,tiago,1,,FALSE,FALSE,Yes,Yes,4,3
2935,maruti a star,2010,petrol,35171,225083,hatchback,manual,maruti,a star,1,,FALSE,FALSE,No,No,5,4
2936,hyundai i10,2008,petrol,36860,165818,hatchback,manual,hyundai,i10,2,,FALSE,FALSE,Yes,Yes,2,1
2937,hyundai xcent,2014,petrol,34682,460094,sedan,manual,hyundai,xcent,1,,FALSE,FALSE,No,No,0,4
2938,maruti alto k10,2016,petrol,10523,334843,hatchback,,maruti,alto k10,1,,FALSE,FALSE,No,Yes,0,2
2939,maruti celerio,2017,petrol,26428,406235,hatchback,manual,maruti,celerio,1,,FALSE,FALSE,No,Yes,0,2
2940,renault kwid,2019,petrol,6966,463538,hatchback,,renault,kwid,1,473439,FALSE,FALSE,No,No,5,5
2941,maruti swift,2014,petrol,15788,408953,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,2,1
2942,chevrolet beat,2011,petrol,26331,184733,hatchback,manual,chevrolet,beat,1,,FALSE,FALSE,Yes,Yes,4,5
2943,honda amaze,2013,petrol & cng,54581,375647,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,No,0,1
2944,toyota etios liva,2015,petrol,29837,357511,hatchback,manual,toyota,etios liva,2,364311,FALSE,FALSE,Yes,No,4,4
2945,honda amaze,2013,petrol,44929,403758,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,No,4,4
2946,maruti swift dzire,2012,diesel,50082,427391,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,Yes,3,3
2947,maruti a star,2010,petrol,18469,238180,hatchback,manual,maruti,a star,1,,FALSE,FALSE,No,No,5,1
2948,maruti swift dzire,2011,petrol,49337,303455,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,Yes,3,3
2949,hyundai santro xing,2011,petrol,19908,198593,hatchback,manual,hyundai,santro xing,1,,FALSE,FALSE,No,Yes,0,4
2950,hyundai i10,2011,petrol,19167,260652,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,No,4,2
2951,maruti ritz,2010,petrol,38621,220204,hatchback,manual,maruti,ritz,1,,FALSE,FALSE,No,No,5,2
2952,volkswagen ameo,2016,petrol,30653,532062,sedan,manual,volkswagen,ameo,1,,FALSE,FALSE,No,Yes,5,4
2953,volkswagen polo,2013,petrol,21404,330975,hatchback,manual,volkswagen,polo,1,,TRUE,FALSE,Yes,No,3,3
2954,hyundai i20,2011,petrol,47405,298166,hatchback,manual,hyundai,i20,1,298266,FALSE,FALSE,No,No,3,1
2955,hyundai grand i10,2014,petrol,18534,379206,hatchback,manual,hyundai,grand i10,2,,FALSE,FALSE,No,No,3,4
2956,maruti celerio,2016,petrol,32156,415601,hatchback,automatic,maruti,celerio,1,,FALSE,FALSE,Yes,Yes,4,5
2957,maruti wagon r 1.0,2015,petrol,30131,379186,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,4,4
2958,maruti celerio,2015,petrol,15756,393625,hatchback,automatic,maruti,celerio,1,,FALSE,FALSE,Yes,No,1,1
2959,datsun redi go,2017,petrol,14152,285374,hatchback,manual,datsun,redi go,1,,FALSE,FALSE,No,Yes,4,5
2960,hyundai i10,2012,petrol,25939,286924,hatchback,manual,hyundai,i10,1,287024,FALSE,FALSE,No,Yes,2,5
2961,maruti swift,2013,petrol,27753,369456,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,Yes,2,4
2962,maruti swift,2014,petrol,25224,418806,hatchback,manual,maruti,swift,2,,FALSE,FALSE,No,No,0,4
2963,maruti wagon r 1.0,2012,petrol,48921,260543,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,Yes,Yes,1,1
2964,honda brio,2012,petrol,13567,313631,hatchback,manual,honda,brio,3,,FALSE,FALSE,Yes,Yes,3,3
2965,hyundai aura,2020,diesel,2963,921642,sedan,,hyundai,aura,1,963343,FALSE,FALSE,Yes,No,4,4
2966,hyundai eon,2017,petrol,16206,312174,hatchback,manual,hyundai,eon,1,,FALSE,FALSE,No,No,4,5
2967,honda amaze,2013,petrol,14671,423148,sedan,manual,honda,amaze,1,,FALSE,FALSE,No,Yes,5,5
2968,maruti swift,2014,petrol,28344,405621,hatchback,manual,maruti,swift,1,407447,FALSE,FALSE,No,Yes,2,1
2969,hyundai elite i20,2017,petrol,23132,571391,hatchback,manual,hyundai,elite i20,1,577307,FALSE,FALSE,Yes,Yes,3,3
2970,toyota etios,2012,petrol,27469,280899,sedan,manual,toyota,etios,2,281099,FALSE,FALSE,No,Yes,0,5
2971,hyundai i20,2011,petrol,54065,310958,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,4,5
2972,maruti swift,2013,petrol,38081,353471,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,Yes,4,2
2973,maruti alto k10,2018,petrol,6082,365299,hatchback,manual,maruti,alto k10,1,,FALSE,FALSE,Yes,No,1,4
2974,maruti swift dzire,2010,petrol,27071,316199,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,Yes,0,5
2975,hyundai i20,2011,petrol,43844,259043,hatchback,manual,hyundai,i20,1,276544,FALSE,FALSE,No,No,1,2
2976,maruti wagon r 1.0,2011,petrol,18514,285525,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,Yes,4,2
2977,hyundai grand i10,2014,petrol,22136,399959,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,Yes,1,3
2978,maruti a star,2011,petrol,45185,181292,hatchback,automatic,maruti,a star,3,,FALSE,FALSE,Yes,Yes,2,5
2979,maruti wagon r 1.0,2014,petrol,6858,388545,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,Yes,No,2,4
2980,hyundai i20,2011,petrol,38262,278399,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,4,1
2981,hyundai grand i10,2017,petrol,18321,419145,hatchback,manual,hyundai,grand i10,1,419445,FALSE,FALSE,Yes,Yes,1,3
2982,maruti wagon r 1.0,2015,petrol & cng,22130,420508,hatchback,,maruti,wagon r 1.0,1,420608,FALSE,FALSE,No,No,2,5
2983,maruti alto 800,2017,petrol,11934,328678,hatchback,manual,maruti,alto 800,1,328878,FALSE,FALSE,No,No,5,5
2984,maruti wagon r 1.0,2012,petrol,25748,286737,hatchback,manual,maruti,wagon r 1.0,2,,FALSE,FALSE,Yes,No,5,1
2985,renault kwid,2020,petrol,4989,386975,hatchback,manual,renault,kwid,1,394475,FALSE,FALSE,Yes,Yes,1,5
2986,maruti swift,2017,petrol,9825,557013,hatchback,manual,maruti,swift,1,557313,FALSE,FALSE,Yes,No,3,3
2987,honda mobilio,2015,petrol,30030,502473,suv,manual,honda,mobilio,1,,FALSE,FALSE,Yes,No,1,5
2988,hyundai i20,2013,petrol,18620,411473,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,Yes,2,5
2989,mahindra kuv100,2016,diesel,10986,458846,suv,manual,mahindra,kuv100,1,,FALSE,FALSE,No,No,0,4
2990,maruti baleno,2017,petrol,27971,499589,hatchback,manual,maruti,baleno,2,499889,FALSE,FALSE,Yes,Yes,0,1
2991,hyundai grand i10,2015,petrol,27165,423599,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,Yes,1,4
2992,hyundai grand i10,2018,petrol,7797,609265,hatchback,automatic,hyundai,grand i10,1,629508,FALSE,FALSE,Yes,No,1,2
2993,maruti swift,2013,petrol,50633,352407,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,Yes,2,1
2994,hyundai grand i10,2014,petrol,36541,393638,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,Yes,5,4
2995,maruti baleno,2016,petrol,16317,542164,hatchback,manual,maruti,baleno,1,625343,FALSE,FALSE,Yes,Yes,2,3
2996,maruti wagon r 1.0,2012,petrol,24255,284822,hatchback,manual,maruti,wagon r 1.0,1,284922,FALSE,FALSE,Yes,No,1,3
2997,hyundai i20,2011,petrol,29959,382746,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,4,4
2998,honda brio,2012,petrol,22938,257146,hatchback,manual,honda,brio,2,,FALSE,FALSE,Yes,Yes,4,3
2999,hyundai i20,2011,petrol,59371,272159,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,Yes,1,5
3000,ford ecosport,2013,petrol,21644,415029,suv,manual,ford,ecosport,2,,FALSE,FALSE,Yes,Yes,5,3
3001,honda jazz,2011,petrol,53465,309763,hatchback,manual,honda,jazz,1,309963,FALSE,FALSE,No,No,5,2
3002,maruti ritz,2010,petrol,32552,228779,hatchback,manual,maruti,ritz,1,,FALSE,FALSE,Yes,Yes,2,1
3003,hyundai i10,2011,petrol,39413,255885,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,5,2
3004,hyundai i10,2010,petrol,28925,219301,hatchback,manual,hyundai,i10,2,,FALSE,FALSE,Yes,Yes,2,2
3005,toyota etios,2015,petrol,33015,416711,sedan,manual,toyota,etios,1,,FALSE,FALSE,Yes,Yes,2,5
3006,hyundai i20,2012,petrol,37356,365903,hatchback,manual,hyundai,i20,1,366003,FALSE,FALSE,Yes,No,1,3
3007,hyundai i20,2011,petrol & cng,38993,341710,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,No,No,4,4
3008,hyundai grand i10,2014,petrol,38327,387598,hatchback,manual,hyundai,grand i10,2,,FALSE,FALSE,No,Yes,4,3
3009,maruti alto 800,2016,petrol,19176,329287,hatchback,manual,maruti,alto 800,1,331487,FALSE,FALSE,No,No,4,5
3010,mahindra tuv300,2016,diesel,35372,647128,suv,automatic,mahindra,tuv300,2,660099,FALSE,FALSE,No,No,5,5
3011,renault kwid,2017,petrol,23296,415397,hatchback,automatic,renault,kwid,1,,FALSE,FALSE,No,No,5,4
3012,maruti swift dzire,2016,petrol,21159,458531,sedan,manual,maruti,swift dzire,1,458631,FALSE,FALSE,Yes,Yes,0,4
3013,maruti wagon r 1.0,2014,petrol & cng,42515,327887,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,Yes,No,1,3
3014,kia seltos,2020,petrol,2787,1809423,,,kia,seltos,1,1864147,FALSE,FALSE,Yes,Yes,4,1
3015,kia seltos,2020,petrol,2863,1969077,,,kia,seltos,1,2029961,FALSE,FALSE,Yes,No,4,4
3016,hyundai eon,2016,petrol,21303,278851,hatchback,manual,hyundai,eon,1,,FALSE,FALSE,Yes,Yes,1,1
3017,maruti alto k10,2016,petrol,15395,343133,hatchback,,maruti,alto k10,1,,FALSE,FALSE,No,Yes,2,2
3018,hyundai i20,2013,petrol,41719,374814,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,No,Yes,5,4
3019,chevrolet cruze,2011,diesel,54996,370333,luxury sedan,manual,chevrolet,cruze,2,,FALSE,FALSE,No,No,3,2
3020,honda city,2013,petrol,50542,425800,sedan,manual,honda,city,2,,FALSE,FALSE,No,No,4,2
3021,renault kwid,2016,petrol,16887,316311,hatchback,manual,renault,kwid,2,,FALSE,FALSE,No,No,2,1
3022,maruti alto k10,2011,petrol,43815,191656,hatchback,manual,maruti,alto k10,2,,FALSE,FALSE,Yes,No,2,5
3023,maruti alto 800,2017,petrol,20192,313199,hatchback,manual,maruti,alto 800,1,313299,FALSE,FALSE,No,Yes,2,3
3024,maruti wagon r 1.0,2014,petrol & cng,36661,320821,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,Yes,Yes,1,3
3025,maruti celerio,2017,petrol,28928,465526,hatchback,automatic,maruti,celerio,1,,FALSE,FALSE,Yes,No,5,2
3026,honda amaze,2013,petrol,53411,355310,sedan,manual,honda,amaze,2,,FALSE,FALSE,No,Yes,1,1
3027,datsun redi go,2017,petrol,22918,261992,hatchback,manual,datsun,redi go,1,,FALSE,FALSE,Yes,No,3,3
3028,honda amaze,2013,petrol,45594,359099,sedan,manual,honda,amaze,2,362799,FALSE,FALSE,Yes,Yes,1,4
3029,hyundai grand i10,2014,petrol,25150,410891,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,Yes,No,0,2
3030,hyundai grand i10,2015,petrol,10438,533435,hatchback,automatic,hyundai,grand i10,1,533535,FALSE,FALSE,No,No,2,1
3031,ford ecosport,2014,petrol,24887,540856,suv,manual,ford,ecosport,1,,FALSE,FALSE,No,No,5,4
3032,volkswagen vento,2011,petrol,31578,331999,sedan,manual,volkswagen,vento,1,,FALSE,FALSE,Yes,No,3,2
3033,maruti eeco,2019,petrol & cng,12869,503786,suv,manual,maruti,eeco,1,510237,FALSE,FALSE,No,Yes,4,2
3034,hyundai eon,2013,petrol,23092,233278,hatchback,manual,hyundai,eon,1,,FALSE,FALSE,No,No,4,4
3035,renault duster,2015,diesel,39053,557227,suv,manual,renault,duster,1,557527,FALSE,FALSE,No,Yes,1,2
3036,maruti ciaz,2015,petrol,54699,584638,sedan,manual,maruti,ciaz,1,,FALSE,FALSE,No,No,3,2
3037,maruti alto k10,2013,petrol,49492,198098,hatchback,,maruti,alto k10,1,,FALSE,FALSE,Yes,No,0,4
3038,hyundai elite i20,2017,petrol,19561,505299,hatchback,manual,hyundai,elite i20,2,,FALSE,FALSE,No,Yes,2,3
3039,maruti swift dzire,2015,petrol,29683,508937,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,Yes,2,4
3040,maruti dzire,2018,petrol,8604,662210,sedan,manual,maruti,dzire,1,663001,FALSE,FALSE,Yes,Yes,5,4
3041,honda accord,2012,petrol,50884,438074,sedan,manual,honda,accord,2,,FALSE,FALSE,Yes,No,2,2
3042,maruti swift,2014,petrol,43680,383822,hatchback,manual,maruti,swift,2,,FALSE,FALSE,Yes,No,0,4
3043,maruti ignis,2017,petrol,29912,489886,hatchback,manual,maruti,ignis,1,,FALSE,FALSE,No,No,3,5
3044,maruti ritz,2011,petrol,33412,266303,hatchback,manual,maruti,ritz,1,266503,FALSE,FALSE,Yes,Yes,2,4
3045,maruti wagon r 1.0,2015,petrol,42102,340258,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,1,5
3046,honda amaze,2013,petrol,47239,409755,sedan,manual,honda,amaze,2,409955,FALSE,FALSE,Yes,No,2,4
3047,hyundai i20,2013,petrol,45525,355319,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,Yes,1,3
3048,maruti alto k10,2010,petrol,50742,185428,hatchback,manual,maruti,alto k10,2,,FALSE,FALSE,No,No,4,1
3049,maruti baleno,2016,petrol,40039,647800,hatchback,,maruti,baleno,1,674209,FALSE,FALSE,No,Yes,2,5
3050,maruti wagon r,2010,petrol,33318,260830,hatchback,manual,maruti,wagon r,1,,FALSE,FALSE,No,Yes,4,5
3051,maruti zen estilo,2010,petrol,37030,192399,hatchback,manual,maruti,zen estilo,1,,FALSE,FALSE,No,Yes,1,4
3052,hyundai verna,2011,petrol,41717,434268,sedan,automatic,hyundai,verna,1,,FALSE,FALSE,Yes,Yes,5,2
3053,nissan terrano,2014,diesel,54066,523564,suv,manual,nissan,terrano,1,,FALSE,FALSE,No,No,1,1
3054,hyundai xcent,2014,petrol,35555,429405,sedan,manual,hyundai,xcent,1,,FALSE,FALSE,Yes,No,5,3
3055,hyundai verna,2014,petrol,33135,564373,sedan,automatic,hyundai,verna,1,,FALSE,FALSE,No,No,1,4
3056,maruti wagon r 1.0,2011,petrol,36253,306826,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,5,3
3057,honda amaze,2014,petrol,49724,440473,sedan,manual,honda,amaze,1,,FALSE,FALSE,No,No,3,2
3058,maruti celerio,2016,petrol,26772,419462,hatchback,automatic,maruti,celerio,1,,FALSE,FALSE,Yes,Yes,5,4
3059,maruti baleno,2015,diesel,41346,558991,hatchback,manual,maruti,baleno,1,,FALSE,FALSE,Yes,Yes,4,4
3060,maruti swift dzire,2012,diesel,53886,462592,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,Yes,4,3
3061,hyundai i10,2013,petrol,39040,307583,hatchback,manual,hyundai,i10,1,307683,FALSE,FALSE,No,Yes,0,1
3062,hyundai i20,2012,petrol,67520,288989,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,Yes,3,2
3063,hyundai i20,2010,petrol,43369,263758,hatchback,manual,hyundai,i20,1,263858,FALSE,FALSE,No,No,1,4
3064,ford figo,2012,diesel,47535,319663,hatchback,manual,ford,figo,1,,FALSE,FALSE,No,No,0,1
3065,maruti wagon r 1.0,2010,petrol,44261,260176,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,2,1
3066,hyundai i10,2011,petrol,23073,244399,hatchback,automatic,hyundai,i10,2,,FALSE,FALSE,Yes,Yes,0,4
3067,toyota etios,2011,petrol,48910,353597,sedan,manual,toyota,etios,1,,FALSE,FALSE,Yes,No,5,3
3068,hyundai i20,2011,petrol,43124,350199,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,No,3,2
3069,hyundai i10,2011,petrol,43411,264090,hatchback,manual,hyundai,i10,2,264190,FALSE,FALSE,Yes,No,3,5
3070,hyundai i20,2012,petrol,26709,378862,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,No,4,4
3071,honda city,2012,petrol,49238,420155,sedan,automatic,honda,city,2,,FALSE,FALSE,Yes,Yes,4,5
3072,renault kwid,2015,petrol,32547,254590,hatchback,manual,renault,kwid,1,,FALSE,FALSE,No,Yes,3,4
3073,hyundai grand i10,2016,petrol,21970,409681,hatchback,manual,hyundai,grand i10,2,,FALSE,FALSE,Yes,Yes,0,1
3074,maruti swift dzire,2015,petrol,17438,484511,sedan,manual,maruti,swift dzire,1,484611,FALSE,FALSE,Yes,No,0,3
3075,hyundai i10,2009,petrol,17167,195080,hatchback,manual,hyundai,i10,2,,FALSE,FALSE,Yes,No,3,5
3076,honda city,2014,petrol,47015,592382,sedan,automatic,honda,city,2,,FALSE,FALSE,No,Yes,5,4
3077,volkswagen polo,2011,petrol,39230,287693,hatchback,manual,volkswagen,polo,2,287793,FALSE,FALSE,Yes,No,1,3
3078,honda jazz,2016,petrol,24867,499510,hatchback,manual,honda,jazz,1,504705,FALSE,FALSE,No,No,0,4
3079,hyundai i20,2010,petrol,38409,261288,hatchback,manual,hyundai,i20,3,,FALSE,FALSE,No,No,1,5
3080,hyundai grand i10,2017,petrol,27887,484902,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,Yes,Yes,2,5
3081,volkswagen vento,2013,petrol,7851,512199,sedan,manual,volkswagen,vento,1,,FALSE,FALSE,Yes,No,3,2
3082,honda wr-v,2017,petrol,30982,714406,suv,manual,honda,wr-v,2,738087,FALSE,FALSE,No,No,0,3
3083,honda city,2012,petrol,40235,466969,sedan,automatic,honda,city,1,478369,FALSE,FALSE,No,Yes,0,3
3084,maruti ertiga,2014,petrol & cng,33076,594124,suv,manual,maruti,ertiga,1,595085,FALSE,FALSE,No,Yes,1,1
3085,maruti swift dzire,2013,petrol,33876,469798,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,4,4
3086,hyundai i20,2010,petrol,49100,261499,hatchback,manual,hyundai,i20,2,261599,FALSE,FALSE,No,Yes,4,1
3087,volkswagen polo,2011,petrol,42836,299672,hatchback,manual,volkswagen,polo,3,,FALSE,FALSE,No,Yes,2,2
3088,volkswagen vento,2015,diesel,38459,548092,sedan,automatic,volkswagen,vento,1,630023,FALSE,FALSE,Yes,Yes,0,1
3089,maruti swift dzire,2010,diesel,80024,347726,sedan,manual,maruti,swift dzire,1,348026,FALSE,FALSE,Yes,No,4,4
3090,hyundai i20,2014,petrol,20646,558574,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,No,5,3
3091,maruti swift,2010,petrol,36785,297988,hatchback,manual,maruti,swift,2,298088,FALSE,FALSE,No,No,5,5
3092,hyundai grand i10,2015,petrol,39018,435118,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,No,2,3
3093,hyundai i10,2010,petrol,41923,225054,hatchback,manual,hyundai,i10,2,,FALSE,FALSE,Yes,Yes,4,1
3094,tata nano,2015,petrol,9851,217304,hatchback,automatic,tata,nano,1,,FALSE,FALSE,Yes,No,2,2
3095,maruti eeco,2019,petrol & cng,7057,497452,suv,manual,maruti,eeco,1,505686,FALSE,FALSE,No,Yes,4,3
3096,mahindra kuv100,2016,petrol,40626,368969,suv,manual,mahindra,kuv100,2,,FALSE,FALSE,Yes,No,1,2
3097,hyundai i10,2012,petrol,50107,258772,hatchback,manual,hyundai,i10,3,,FALSE,FALSE,Yes,No,5,2
3098,honda jazz,2016,petrol,44234,461137,hatchback,manual,honda,jazz,1,461922,FALSE,FALSE,Yes,Yes,3,4
3099,maruti alto 800,2015,petrol,3370,280426,hatchback,manual,maruti,alto 800,1,,FALSE,FALSE,Yes,Yes,2,5
3100,hyundai i20,2011,petrol,36791,325247,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,Yes,4,2
3101,maruti ritz,2011,petrol,44798,227903,hatchback,manual,maruti,ritz,2,234303,FALSE,FALSE,Yes,Yes,4,2
3102,hyundai i10,2010,petrol,50705,248627,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,No,5,4
3103,honda city,2012,petrol,66684,377393,sedan,manual,honda,city,1,,FALSE,FALSE,Yes,Yes,0,3
3104,hyundai i10,2010,petrol,39989,205348,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,No,1,1
3105,maruti alto 800,2013,petrol,36374,252999,hatchback,manual,maruti,alto 800,1,253099,FALSE,FALSE,No,Yes,4,1
3106,hyundai i20 active,2016,petrol,17868,495327,hatchback,manual,hyundai,i20 active,2,,FALSE,FALSE,Yes,Yes,0,2
3107,renault kwid,2016,petrol,19266,347647,hatchback,,renault,kwid,1,,FALSE,FALSE,Yes,Yes,2,5
3108,honda amaze,2014,petrol,46713,431356,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,No,4,3
3109,maruti new  wagon-r,2019,petrol & cng,19433,540575,,,maruti,new  wagon-r,1,542317,FALSE,FALSE,Yes,Yes,4,2
3110,maruti swift,2009,petrol,47873,248666,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,No,3,4
3111,hyundai elite i20,2016,petrol,25868,613494,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,No,Yes,4,5
3112,maruti baleno,2017,petrol,9818,652805,hatchback,manual,maruti,baleno,1,652905,FALSE,FALSE,Yes,No,2,2
3113,maruti dzire,2018,petrol,3226,739475,sedan,manual,maruti,dzire,1,,FALSE,FALSE,No,No,2,5
3114,hyundai i20,2010,petrol,38014,268784,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,No,1,3
3115,toyota etios,2012,diesel,67283,381112,sedan,manual,toyota,etios,1,,FALSE,FALSE,Yes,No,1,1
